"month","date","money","diff","assets","debt","assets_money_over_debt","debt_over_incomes"
1,"1/2016",5372.059520518197,372.05952051819713,135000,109612.89285385155,128.06163204512657,31.643557616576643
2,"2/2016",5744.119041036394,372.05952051819713,135000,109224.81003690703,128.8572797640747,31.643557616576643
3,"3/2016",6116.178561554591,372.05952051819713,135000,108835.74671272298,129.65976972073094,31.643557616576643
4,"4/2016",6488.2380820727885,372.05952051819713,135000,108445.69801721336,130.469203176335,31.643557616576643
5,"5/2016",6860.297602590986,372.05952051819713,135000,108054.65905848848,131.28568341121135,31.643557616576643
6,"6/2016",7232.357123109182,372.0595205181962,135000,107662.62491669356,132.10931577524212,31.643557616576643
7,"7/2016",7604.416643627378,372.0595205181962,135000,107269.59064384541,132.94020773986173,31.643557616576643
8,"8/2016",7976.476164145574,372.0595205181962,135000,106875.55126366985,133.778468951624,31.643557616576643
9,"9/2016",8348.53568466377,372.0595205181953,135000,106480.50177143567,134.62421128740237,31.643557616576643
10,"10/2016",8720.595205181966,372.0595205181962,135000,106084.43713378985,135.477548911276,31.643557616576643
11,"11/2016",9092.654725700162,372.0595205181962,135000,105687.3522885907,136.33859833316632,31.643557616576643
12,"12/2016",7914.714246218359,-1177.9404794818029,153000,105289.24214474071,152.8311069282933,31.643557616576643
13,"1/2017",2231.7737667365554,-5682.940479481804,153000,104890.1015820174,147.99468341190914,31.643557616576643
14,"2/2017",2548.8332872547526,317.05952051819713,153000,104489.92545090409,148.8649098140484,31.643557616576643
15,"3/2017",2865.8928077729497,317.05952051819713,153000,104088.7085724196,149.74332465593946,31.643557616576643
16,"4/2017",3182.952328291147,317.05952051819713,153000,103686.44573794666,150.6300570115232,31.643557616576643
17,"5/2017",3500.011848809344,317.05952051819713,153000,103283.13170905912,151.52523869014564,31.643557616576643
18,"6/2017",3817.071369327541,317.05952051819713,153000,102878.76121734873,152.42900430928114,31.643557616576643
19,"7/2017",4134.130889845738,317.05952051819713,153000,102473.32896425054,153.341491369588,31.643557616576643
20,"8/2017",4451.190410363935,317.05952051819713,153000,102066.82962086752,154.26284033238267,31.643557616576643
21,"9/2017",4768.2499308821325,317.05952051819713,153000,101659.25782779379,155.19319469962534,31.643557616576643
22,"10/2017",5085.30945140033,317.05952051819713,153000,101250.6081949372,156.13270109651057,31.643557616576643
23,"11/2017",5402.368971918527,317.05952051819713,153000,100840.87530134042,157.08150935676474,31.643557616576643
24,"12/2017",3469.428492436724,-1932.9404794818029,153000,100430.05369500176,155.79940738419015,31.643557616576643
25,"1/2018",3786.488012954921,317.05952051819713,153000,100018.13789269413,156.75805540507614,31.643557616576643
26,"2/2018",4103.547533473118,317.05952051819713,153000,99605.12237978324,157.726373684332,31.643557616576643
27,"3/2018",4420.607053991315,317.05952051819713,153000,99191.00161004493,158.70452409873593,31.643557616576643
28,"4/2018",4737.666574509512,317.05952051819713,153000,98775.77000548148,159.69267216621648,31.643557616576643
29,"5/2018",5054.72609502771,317.05952051819713,153000,98359.42195613577,160.69098714865726,31.643557616576643
30,"6/2018",5371.785615545907,317.05952051819713,153000,97941.9518199068,161.69964215819996,31.643557616576643
31,"7/2018",5688.845136064104,317.05952051819713,153000,97523.35392236066,162.71881426719378,31.643557616576643
