"month","date","money","diff","assets","debt","assets_money_over_debt","debt_over_incomes"
1,"1/2016",-312,-312,0,99754.13136113227,-0.3127690008852768,null
2,"2/2016",-625,-313,0,99508.09880983867,-0.628089580119889,null
3,"3/2016",-937,-312,0,99261.90223684418,-0.9439674022811573,null
4,"4/2016",-1250,-313,0,99015.54153280101,-1.2624280801271088,null
5,"5/2016",-1562,-312,0,98769.01658828845,-1.5814676038651725,null
6,"6/2016",-1875,-313,0,98522.32729381291,-1.9031219130749746,null
7,"7/2016",-2187,-312,0,98275.47353980783,-2.2253772189804057,null
8,"8/2016",-2500,-313,0,98028.45521663327,-2.5502799105374505,null
9,"9/2016",-2812,-312,0,97781.2722145767,-2.8758063137378596,null
10,"10/2016",-3125,-313,0,97533.92442385203,-3.204013391709457,null
11,"11/2016",-3437,-312,0,97286.4117346002,-3.532867477296031,null
12,"12/2016",-3750,-313,0,97038.73403688888,-3.864436234889928,null
13,"1/2017",-4062,-312,0,96790.89122071245,-4.1966758945709195,null
14,"2/2017",-4375,-313,0,96542.88317599187,-4.531664951444053,null
15,"3/2017",-4688,-313,0,96294.70979257478,-4.8683879001227215,null
16,"4/2017",-5000,-312,0,96046.37096023539,-5.2058187623456105,null
17,"5/2017",-5313,-313,0,95797.86656867455,-5.5460525273715495,null
18,"6/2017",-5625,-312,0,95549.19650751923,-5.887019677404971,null
19,"7/2017",-5938,-313,0,95300.36066632326,-6.2308263667446315,null
20,"8/2017",-6250,-312,0,95051.3589345664,-6.575392577293416,null
21,"9/2017",-6563,-313,0,94802.19120165502,-6.922835766569735,null
22,"10/2017",-6875,-312,0,94552.85735692171,-7.271065298479547,null
23,"11/2017",-7188,-313,0,94303.35728962536,-7.622210074583184,null
24,"12/2017",-7500,-312,0,94053.69088895075,-7.974168721199101,null
25,"1/2018",-7813,-313,0,93803.85804400906,-8.329081727464182,null
26,"2/2018",-8125,-312,0,93553.85864383719,-8.684836860585472,null
27,"3/2018",-8438,-313,0,93303.69257739873,-9.043586343595543,null
28,"4/2018",-8750,-312,0,93053.35973358263,-9.40320696109391,null
29,"5/2018",-9063,-313,0,92802.860001204,-9.765862819187273,null
30,"6/2018",-9376,-313,0,92552.19326900366,-10.130500065782973,null
31,"7/2018",-9688,-312,0,92301.35942564865,-10.496053427906398,null
32,"8/2018",-10001,-313,0,92050.35835973146,-10.864705122511568,null
33,"9/2018",-10313,-312,0,91799.18995977018,-11.234303924162663,null
34,"10/2018",-10626,-313,0,91547.85411420891,-11.607044318858334,null
35,"11/2018",-10938,-312,0,91296.35071141738,-11.980763650208102,null
36,"12/2018",-11251,-313,0,91044.67963969064,-12.357668833067278,null
37,"1/2019",-11563,-312,0,90792.8407872494,-12.73558564721533,null
38,"2/2019",-11876,-313,0,90540.83404223983,-13.11673359940501,null
39,"3/2019",-12188,-312,0,90288.65929273359,-13.498926770508474,null
40,"4/2019",-12501,-313,0,90036.31642672766,-13.884397425535976,null
41,"5/2019",-12813,-312,0,89783.8053321445,-14.27094780912864,null
42,"6/2019",-13126,-313,0,89531.12589683151,-14.660823114327135,null
43,"7/2019",-13439,-313,0,89278.27800856165,-15.052933703214148,null
44,"8/2019",-13751,-312,0,89025.26155503301,-15.446177590278129,null
45,"9/2019",-14064,-313,0,88772.07642386864,-15.84281968673038,null
46,"10/2019",-14376,-312,0,88518.72250261677,-16.240632030783114,null
47,"11/2019",-14689,-313,0,88265.1996787509,-16.641892901689374,null
48,"12/2019",-15001,-312,0,88011.5078396689,-17.044362002441105,null
49,"1/2020",-15314,-313,0,87757.64687269439,-17.45033116283901,null
50,"2/2020",-15626,-312,0,87503.61666507505,-17.857547602642963,null
51,"3/2020",-15939,-313,0,87249.41710398413,-18.26831688858603,null
52,"4/2020",-16251,-312,0,86995.04807651909,-18.680373606674657,null
53,"5/2020",-16564,-313,0,86740.50946970233,-19.09603725095211,null
54,"6/2020",-16876,-312,0,86485.80117048108,-19.51302962058937,null
55,"7/2020",-17189,-313,0,86230.92306572702,-19.933684331429667,null
56,"8/2020",-17501,-312,0,85975.8750422365,-20.355710240113826,null
57,"9/2020",-17814,-313,0,85720.65698673028,-20.781455283010303,null
58,"10/2020",-18127,-313,0,85465.26878585368,-21.209785281808422,null
59,"11/2020",-18439,-312,0,85209.71032617649,-21.639552498672828,null
60,"12/2020",-18752,-313,0,84953.98149419294,-22.073126733067596,null
61,"1/2021",-19064,-312,0,84698.08217632142,-22.50818378663315,null
62,"2/2021",-19377,-313,0,84442.01225890442,-22.947108295558998,null
63,"3/2021",-19689,-312,0,84185.77162820939,-23.387562552675483,null
64,"4/2021",-20002,-313,0,83929.36017042714,-23.83194624549013,null
65,"5/2021",-20314,-312,0,83672.77777167306,-24.277907989899656,null
66,"6/2021",-20627,-313,0,83416.02431798643,-24.72786274417581,null
67,"7/2021",-20939,-312,0,83159.0996953307,-25.179445276240408,null
68,"8/2021",-21252,-313,0,82902.00378959322,-25.6350860395823,null
69,"9/2021",-21564,-312,0,82644.73648658521,-26.09240578013125,null
70,"10/2021",-21877,-313,0,82387.29767204188,-26.553850676211653,null
71,"11/2021",-22190,-313,0,82129.68723162226,-27.0182448612275,null
72,"12/2021",-22502,-312,0,81871.90505090896,-27.484397713730957,null
73,"1/2022",-22815,-313,0,81613.95101540857,-27.95477944168218,null
74,"2/2022",-23127,-312,0,81355.82501055107,-28.42697495477509,null
75,"3/2022",-23440,-313,0,81097.52692169043,-28.90347078355939,null
76,"4/2022",-23752,-312,0,80839.05663410375,-29.381837182374653,null
77,"5/2022",-24065,-313,0,80580.41403299221,-29.86457725340927,null
78,"6/2022",-24377,-312,0,80321.59900347974,-30.349246407487385,null
79,"7/2022",-24690,-313,0,80062.61143061442,-30.83836457345309,null
80,"8/2022",-25002,-312,0,79803.45119936709,-31.329472127138143,null
81,"9/2022",-25315,-313,0,79544.11819463232,-31.82510608522689,null
82,"10/2022",-25627,-312,0,79284.61230122761,-32.322791593701474,null
83,"11/2022",-25940,-313,0,79024.93340389406,-32.825083024646716,null
84,"12/2022",-26252,-312,0,78765.08138729558,-33.32949009589206,null
85,"1/2023",-26565,-313,0,78505.05613601946,-33.83858480907643,null
86,"2/2023",-26878,-313,0,78244.8575345757,-34.35113929132385,null
87,"3/2023",-27190,-312,0,77984.4854673977,-34.86590933701434,null
88,"4/2023",-27503,-313,0,77723.93981884158,-35.38549392131151,null
89,"5/2023",-27815,-312,0,77463.22047318645,-35.907363301049486,null
90,"6/2023",-28128,-313,0,77202.32731463415,-36.43413479669566,null
91,"7/2023",-28440,-312,0,76941.26022730957,-36.963262514779416,null
92,"8/2023",-28753,-313,0,76680.01909526002,-37.49738242015822,null
93,"9/2023",-29065,-312,0,76418.60380245587,-38.03393225442041,null
94,"10/2023",-29378,-313,0,76157.01423278969,-38.5755669335986,null
95,"11/2023",-29690,-312,0,75895.25027007723,-39.11970761588713,null
96,"12/2023",-30003,-313,0,75633.3117980563,-39.669028483254976,null
97,"1/2024",-30315,-312,0,75371.19870038728,-40.22093388816467,null
98,"2/2024",-30628,-313,0,75108.91086065308,-40.77811760154937,null
99,"3/2024",-30940,-312,0,74846.44816235921,-41.33796694384749,null
100,"4/2024",-31253,-313,0,74583.81048893301,-41.90319560655516,null
101,"5/2024",-31566,-313,0,74320.99772372463,-42.47251916254019,null
102,"6/2024",-31878,-312,0,74058.00975000604,-43.04463502004576,null
103,"7/2024",-32191,-313,0,73794.84645097166,-43.62228739291068,null
104,"8/2024",-32503,-312,0,73531.50770973793,-44.20282000513851,null
105,"9/2024",-32816,-313,0,73267.99340934333,-44.788997859760165,null
106,"10/2024",-33128,-312,0,73004.3034327485,-45.378146824614916,null
107,"11/2024",-33441,-313,0,72740.43766283605,-45.973053056134425,null
108,"12/2024",-33753,-312,0,72476.39598241013,-46.57102432106555,null
109,"1/2025",-34066,-313,0,72212.17827419736,-47.17486830358137,null
110,"2/2025",-34378,-312,0,71947.78442084581,-47.78187442008218,null
111,"3/2025",-34691,-313,0,71683.21430492544,-48.3948722673508,null
112,"4/2025",-35003,-312,0,71418.46780892751,-49.01113265779769,null
113,"5/2025",-35316,-313,0,71153.54481526584,-49.633507496625846,null
114,"6/2025",-35629,-313,0,70888.44520627495,-50.260659401295726,null
115,"7/2025",-35941,-312,0,70623.16886421142,-50.891230991212645,null
116,"8/2025",-36254,-313,0,70357.71567125316,-51.528108401638605,null
117,"9/2025",-36566,-312,0,70092.08550949964,-52.16851479621645,null
118,"10/2025",-36879,-313,0,69826.2782609715,-52.815359658962436,null
119,"11/2025",-37191,-312,0,69560.29380761119,-53.46584662632724,null
120,"12/2025",-37504,-313,0,69294.13203128189,-54.122908968784444,null
121,"1/2026",-37816,-312,0,69027.79281376835,-54.78373052145046,null
122,"2/2026",-38129,-313,0,68761.27603677635,-55.45126879205535,null
123,"3/2026",-38441,-312,0,68494.58158193326,-56.122687535534254,null
124,"4/2026",-38754,-313,0,68227.70933078688,-56.80096896132017,null
125,"5/2026",-39066,-312,0,67960.65916480632,-57.48325646057075,null
126,"6/2026",-39379,-313,0,67693.43096538178,-58.17255742309517,null
127,"7/2026",-39691,-312,0,67426.02461382428,-58.86599458788528,null
128,"8/2026",-40004,-313,0,67158.43999136589,-59.566601018640476,null
129,"9/2026",-40317,-313,0,66890.6769791591,-60.272973485619566,null
130,"10/2026",-40629,-312,0,66622.73545827741,-60.983686305471466,null
131,"11/2026",-40942,-313,0,66354.61530971523,-61.70181201247282,null
132,"12/2026",-41254,-312,0,66086.31641438734,-62.424420422105385,null
133,"1/2027",-41567,-313,0,65817.83865312919,-63.15461104559345,null
134,"2/2027",-41879,-312,0,65549.18190669683,-63.88943199872558,null
135,"3/2027",-42192,-313,0,65280.34605576703,-64.63201032046713,null
136,"4/2027",-42504,-312,0,65011.33098093644,-65.37937211662938,null
137,"5/2027",-42817,-313,0,64742.136562722786,-66.13467252276806,null
138,"6/2027",-43129,-312,0,64472.76268156357,-66.8949153195401,null
139,"7/2027",-43442,-313,0,64203.20921781679,-67.6632843268286,null
140,"8/2027",-43754,-312,0,63933.47605176099,-68.43676068008011,null
141,"9/2027",-44067,-313,0,63663.563063594505,-69.21855749101069,null
142,"10/2027",-44380,-313,0,63393.47013343581,-70.00721037448385,null
143,"11/2027",-44692,-312,0,63123.19714132377,-70.80123001365256,null
144,"12/2027",-45005,-313,0,62852.74396721682,-71.60387464304506,null
145,"1/2028",-45317,-312,0,62582.110490993975,-72.41206735353141,null
146,"2/2028",-45630,-313,0,62311.296592453546,-73.22909728302172,null
147,"3/2028",-45942,-312,0,62040.30215131421,-74.05186371908539,null
148,"4/2028",-46255,-313,0,61769.12704721392,-74.88368738746215,null
149,"5/2028",-46567,-312,0,61497.77115971108,-75.72144343095697,null
150,"6/2028",-46880,-313,0,61226.23436828306,-76.56848487204233,null
151,"7/2028",-47192,-312,0,60954.51655232773,-77.42166236276682,null
152,"8/2028",-47505,-313,0,60682.61759116154,-78.28436195692245,null
153,"9/2028",-47817,-312,0,60410.53736402124,-79.15340946541292,null
154,"10/2028",-48130,-313,0,60138.27575006275,-80.03222473492646,null
155,"11/2028",-48442,-312,0,59865.83262836188,-80.91760838059446,null
156,"12/2028",-48755,-313,0,59593.207877913046,-81.81301483196377,null
157,"1/2029",-49068,-313,0,59320.40137763053,-82.7169049103962,null
158,"2/2029",-49380,-312,0,59047.413006347895,-83.62771116609528,null
159,"3/2029",-49693,-313,0,58774.2426428178,-84.54894145041352,null
160,"4/2029",-50005,-312,0,58500.890165712044,-85.47733181213785,null
161,"5/2029",-50318,-313,0,58227.355453621436,-86.4164267945823,null
162,"6/2029",-50630,-312,0,57953.63838505605,-87.36293597928008,null
163,"7/2029",-50943,-313,0,57679.73883844513,-88.32044150318706,null
164,"8/2029",-51255,-312,0,57405.656692136334,-89.28562610977173,null
165,"9/2029",-51568,-313,0,57131.391824396815,-90.26211046722464,null
166,"10/2029",-51880,-312,0,56856.94411341201,-91.24655010743358,null
167,"11/2029",-52193,-313,0,56582.313437286495,-92.24260520533252,null
168,"12/2029",-52505,-312,0,56307.49967404368,-93.2469037054463,null
169,"1/2030",-52818,-313,0,56032.50270162532,-94.2631463050247,null
170,"2/2030",-53131,-313,0,55757.322397892014,-95.28972647009444,null
171,"3/2030",-53443,-312,0,55481.958640622885,-96.32500601892956,null
172,"4/2030",-53756,-313,0,55206.41130751556,-97.37274843054668,null
173,"5/2030",-54068,-312,0,54930.68027618616,-98.42951102762848,null
174,"6/2030",-54381,-313,0,54654.76542416925,-99.49910054128934,null
175,"7/2030",-54693,-312,0,54378.66662891776,-100.57804538170689,null
176,"8/2030",-55006,-313,0,54102.38376780254,-101.67019670718321,null
177,"9/2030",-55318,-312,0,53825.91671811343,-102.77205363672786,null
178,"10/2030",-55631,-313,0,53549.26535705776,-103.88751298278618,null
179,"11/2030",-55943,-312,0,53272.42956176148,-105.0130441960459,null
180,"12/2030",-56256,-313,0,52995.40920926821,-106.15259102511384,null
181,"1/2031",-56568,-312,0,52718.20417654002,-107.30259287772395,null
182,"2/2031",-56881,-313,0,52440.81434045667,-108.46704177916979,null
183,"3/2031",-57193,-312,0,52163.23957781597,-109.64234672327193,null
184,"4/2031",-57506,-313,0,51885.47976533344,-110.83254941476292,null
185,"5/2031",-57819,-313,0,51607.53477964266,-112.03596576910616,null
186,"6/2031",-58131,-312,0,51329.404497294614,-113.25087553482891,null
187,"7/2031",-58444,-313,0,51051.08879475849,-114.48139771310922,null
188,"8/2031",-58756,-312,0,50772.58754842063,-115.72386367735497,null
189,"9/2031",-59069,-313,0,50493.900634585196,-116.98244591454952,null
190,"10/2031",-59381,-312,0,50215.0279294738,-118.25344413508971,null
191,"11/2031",-59694,-313,0,49935.96930922577,-119.54108596620634,null
192,"12/2031",-60006,-312,0,49656.72464989753,-120.84163911951416,null
193,"1/2032",-60319,-313,0,49377.29382746309,-122.15938810006486,null
194,"2/2032",-60631,-312,0,49097.676717813745,-123.49056829811605,null
195,"3/2032",-60944,-313,0,48817.87319675787,-124.83952292302536,null
196,"4/2032",-61256,-312,0,48537.8831400213,-126.2024547368283,null
197,"5/2032",-61569,-313,0,48257.70642324696,-127.5837675748731,null
198,"6/2032",-61881,-312,0,47977.34292199467,-128.9796312826473,null
199,"7/2032",-62194,-313,0,47696.792511741696,-130.3945123452263,null
200,"8/2032",-62507,-313,0,47416.0550678818,-131.82665641524517,null
201,"9/2032",-62819,-312,0,47135.13046572605,-133.2742677898778,null
202,"10/2032",-63132,-313,0,46854.01858050217,-134.74191096656915,null
203,"11/2032",-63444,-312,0,46572.71928735477,-136.2256723910602,null
204,"12/2032",-63757,-313,0,46291.232461345244,-137.73018476714626,null
205,"1/2033",-64069,-312,0,46009.55797745186,-139.25150081076333,null
206,"2/2033",-64382,-313,0,45727.69571056904,-140.79432387650226,null
207,"3/2033",-64694,-312,0,45445.64553550839,-142.35467279137262,null
208,"4/2033",-65007,-313,0,45163.40732699767,-143.93732414679943,null
209,"5/2033",-65319,-312,0,44880.98095968128,-145.5382627636396,null
210,"6/2033",-65632,-313,0,44598.366308119956,-147.1623412090108,null
211,"7/2033",-65944,-312,0,44315.56324679105,-148.80551022845253,null
212,"8/2033",-66257,-313,0,44032.57165008787,-150.472701268784,null
213,"9/2033",-66570,-313,0,43749.39139232025,-152.16211673217853,null
214,"10/2033",-66882,-312,0,43466.02234771405,-153.87191278964,null
215,"11/2033",-67195,-313,0,43182.4643904115,-155.6071450496475,null
216,"12/2033",-67507,-312,0,42898.71739447066,-157.3636791497668,null
217,"1/2034",-67820,-313,0,42614.78123386602,-159.14665765338566,null
218,"2/2034",-68132,-312,0,42330.65578248748,-160.951912368404,null
219,"3/2034",-68445,-313,0,42046.3409141415,-162.78467641159187,null
220,"4/2034",-68757,-312,0,41761.83650254993,-164.64074800877538,null
221,"5/2034",-69070,-313,0,41477.142421350494,-166.52545466692033,null
222,"6/2034",-69382,-312,0,41192.25854409697,-168.4345613769283,null
223,"7/2034",-69695,-313,0,40907.184744258724,-170.37349413242526,null
224,"8/2034",-70007,-312,0,40621.92089522053,-172.33798514987714,null
225,"9/2034",-70320,-313,0,40336.46687028295,-174.33356328936878,null
226,"10/2034",-70632,-312,0,40050.82254266208,-176.35592858239778,null
227,"11/2034",-70945,-313,0,39764.987785489546,-178.4107174449786,null
228,"12/2034",-71258,-313,0,39478.96247181212,-180.49613145451335,null
229,"1/2035",-71570,-312,0,39192.746474592335,-182.61032062756055,null
230,"2/2035",-71883,-313,0,38906.339666707594,-184.7590922605108,null
231,"3/2035",-72195,-312,0,38619.74192095101,-186.93806951836356,null
232,"4/2035",-72508,-313,0,38332.95311003064,-189.15318053340044,null
233,"5/2035",-72820,-312,0,38045.97310656959,-191.40001964472242,null
234,"6/2035",-73133,-313,0,37758.80178310625,-193.68464184877973,null
235,"7/2035",-73445,-312,0,37471.439012094015,-196.0026140877467,null
236,"8/2035",-73758,-313,0,37183.88466590096,-198.3601247226299,null
237,"9/2035",-74070,-312,0,36896.138616810524,-200.7527149907563,null
238,"10/2035",-74383,-313,0,36608.20073702067,-203.18671363921723,null
239,"11/2035",-74695,-312,0,36320.07089864443,-205.65763819251748,null
240,"12/2035",-75008,-313,0,36031.74897370898,-208.17196538178186,null
241,"1/2036",-75321,-313,0,35743.23483415713,-210.72798908514395,null
242,"2/2036",-75633,-312,0,35454.52835184552,-213.3239490578728,null
243,"3/2036",-75946,-313,0,35165.62939854573,-215.96655967471676,null
244,"4/2036",-76258,-312,0,34876.53784594371,-218.6512902652381,null
245,"5/2036",-76571,-313,0,34587.25356563994,-221.38502513558356,null
246,"6/2036",-76883,-312,0,34297.77642914929,-224.16321990675178,null
247,"7/2036",-77196,-313,0,34008.1063079011,-226.99293898074254,null
