"month","date","money","diff","assets","debt","assets_money_over_debt","debt_over_incomes"
1,"1/2016",4953,1953,137973.7751671359,99761.69381288686,143.26819213315434,10.721317348216903
2,"2/2016",6906,1953,137947.77958155808,99523.18903728446,145.54776729199398,10.721317348216903
3,"3/2016",8860,1954,137922.0112392759,99284.4855077024,147.8398266241594,10.721317348216903
4,"4/2016",10813,1953,137896.46815381688,99045.58305851239,150.14245316317127,10.721317348216903
5,"5/2016",12766,1953,137871.14835607357,98806.48152394795,152.456747809164,10.721317348216903
6,"6/2016",14720,1954,137846.04989415154,98567.18073810475,154.78382231457243,10.721317348216903
7,"7/2016",16673,1953,137821.17083321922,98327.68053494004,157.12174841581952,10.721317348216903
8,"8/2016",18626,1953,137796.50925535848,98087.98074827273,159.4716376686274,10.721317348216903
9,"9/2016",20580,1954,137772.06325941693,97848.08121178304,161.83461269585723,10.721317348216903
10,"10/2016",22533,1953,137747.8309608613,97607.9817590131,164.20873382730403,10.721317348216903
11,"11/2016",24486,1953,137723.81049163218,97367.68222336579,166.59512354367814,10.721317348216903
12,"12/2016",23590,-896,137700,97127.18243810549,166.06061861496127,10.721317348216903
13,"1/2017",25543,1953,137676.39765042232,96886.48223635735,168.46457202589306,10.721317348216903
14,"2/2017",27497,1954,137653.00162340226,96645.58145110786,170.88210256870374,10.721317348216903
15,"3/2017",29450,1953,137629.81011534831,96404.47991520405,173.31125095255868,10.721317348216903
16,"4/2017",31403,1953,137606.8213384352,96163.17746135357,175.75315812162876,10.721317348216903
17,"5/2017",33357,1954,137584.0335204662,95921.67392212489,178.20897668992583,10.721317348216903
18,"6/2017",35310,1953,137561.4449047364,95679.96912994682,180.67673566026417,10.721317348216903
19,"7/2017",37263,1953,137539.05374989728,95438.06291710868,183.15758766155915,10.721317348216903
20,"8/2017",39217,1954,137516.85832982263,95195.95511575976,185.65269723373382,10.721317348216903
21,"9/2017",41170,1953,137494.85693347524,94953.64555790975,188.16008156791852,10.721317348216903
22,"10/2017",43123,1953,137473.04786477517,94711.13407542821,190.6809052892852,10.721317348216903
23,"11/2017",45077,1954,137451.42944246894,106468.42050004461,171.43903195444932,10.721317348216903
24,"12/2017",43876,-1201,155430,106021.1536621312,187.98701307773868,20.86635072211582
25,"1/2018",39490,-4386,155251.40888819555,105571.98146934374,184.46315601715315,20.86635072211582
26,"2/2018",41104,1614,155074.37895041046,105120.88956194883,186.62168838934767,20.86635072211582
27,"3/2018",42718,1614,154898.8965394688,104667.86346181417,188.80379325939438,20.86635072211582
28,"4/2018",44332,1614,154724.94812749303,104212.8885714221,191.00991331899388,20.86635072211582
29,"5/2018",45946,1614,154552.5203048609,103755.95017287653,193.24050328756414,20.86635072211582
30,"6/2018",47560,1614,154381.599779172,103297.03342690061,195.49603031153686,20.86635072211582
31,"7/2018",49174,1614,154212.17337422282,102836.1233718263,197.77697437974788,20.86635072211582
32,"8/2018",50788,1614,154044.2280289912,102373.20492257527,200.08382875568424,20.86635072211582
33,"9/2018",52402,1614,153877.75079662923,101908.26286963186,202.41710042738794,20.86635072211582
34,"10/2018",54016,1614,153712.7288434654,101441.28187800698,204.77731057586536,20.86635072211582
35,"11/2018",55630,1614,153549.1494480151,100972.24648619376,207.16499506289264,20.86635072211582
36,"12/2018",53694,-1936,153387,100501.14110511389,206.0484067374066,20.86635072211582
37,"1/2019",55308,1614,153226.267999376,100027.95001705602,208.47599892211957,20.86635072211582
38,"2/2019",56922,1614,153066.94105536942,99552.65737460474,210.93253218264798,20.86635072211582
39,"3/2019",58536,1614,152909.00688552193,99075.24719956054,213.41860137842764,20.86635072211582
40,"4/2019",60150,1614,152752.4533147437,98595.70338185143,215.93481867074215,20.86635072211582
41,"5/2019",61764,1614,152597.2682743748,98114.00967843474,218.48181414350142,20.86635072211582
42,"6/2019",63378,1614,152443.4398012548,97630.14971219015,221.0602364510225,20.86635072211582
43,"7/2019",64992,1614,152290.95603680058,97144.10697080367,223.67075349419216,20.86635072211582
