"month","date","money","diff","assets","debt","assets_money_over_debt","debt_over_incomes"
1,"1/2016",0,0,0,0,null,null
2,"2/2016",0,0,0,0,null,null
3,"3/2016",0,0,0,0,null,null
4,"4/2016",0,0,0,0,null,null
5,"5/2016",0,0,0,0,null,null
6,"6/2016",0,0,0,0,null,null
7,"7/2016",0,0,0,0,null,null
8,"8/2016",0,0,0,100000.00000000001,0,null
9,"9/2016",-312.5353055344215,-312.5353055344215,0,99754.13136113227,-0.31330562581210175,null
10,"10/2016",-625.070611068843,-312.5353055344215,0,99508.09880983867,-0.6281605402424193,null
11,"11/2016",-937.6059166032646,-312.5353055344216,0,99261.90223684418,-0.9445778243964004,null
12,"12/2016",-1250.141222137686,-312.53530553442147,0,99015.54153280101,-1.2625707063608294,null
13,"1/2017",-1562.6765276721076,-312.53530553442147,0,98769.01658828845,-1.5821525632739795,null
14,"2/2017",-1875.211833206529,-312.53530553442147,0,98522.32729381291,-1.9033369234308477,null
15,"3/2017",-2187.7471387409505,-312.53530553442147,0,98275.47353980783,-2.2261374684241773,null
16,"4/2017",-2500.282444275372,-312.5353055344217,0,98028.45521663327,-2.550568035321982,null
17,"5/2017",-2812.817749809794,-312.5353055344217,0,97781.2722145767,-2.8766426188822627,null
18,"6/2017",-3125.3530553442156,-312.5353055344217,0,97533.92442385203,-3.2043753738057386,null
19,"7/2017",-3437.8883608786373,-312.5353055344217,0,97286.4117346002,-3.5337806170272614,null
20,"8/2017",-3750.423666413059,-312.5353055344217,0,97038.73403688888,-3.864872830046763,null
21,"9/2017",-4062.9589719474807,-312.5353055344217,0,96790.89122071245,-4.197666661300501,null
22,"10/2017",-4375.494277481902,-312.53530553442124,0,96542.88317599187,-4.532176928573429,null
23,"11/2017",-4688.029583016323,-312.53530553442124,0,96294.70979257478,-4.868418621453506,null
24,"12/2017",-5000.564888550744,-312.53530553442124,0,96046.37096023539,-5.206406903828831,null
25,"1/2018",-5313.100194085166,-312.53530553442124,0,95797.86656867455,-5.546157116428441,null
26,"2/2018",-5625.635499619587,-312.53530553442124,0,95549.19650751923,-5.887684779407724,null
27,"3/2018",-5938.170805154008,-312.53530553442124,0,95300.36066632326,-6.231005594979251,null
28,"4/2018",-6250.706110688429,-312.53530553442124,0,95051.3589345664,-6.576135450090126,null
29,"5/2018",-6563.241416222851,-312.53530553442124,0,94802.19120165502,-6.923090419146632,null
30,"6/2018",-6875.776721757272,-312.53530553442124,0,94552.85735692171,-7.271886766787311,null
31,"7/2018",-7188.312027291693,-312.53530553442124,0,94303.35728962536,-7.622540950705373,null
32,"8/2018",-7500.847332826114,-312.53530553442124,0,94053.69088895075,-7.975069624521561,null
33,"9/2018",-7813.382638360536,-312.53530553442124,0,93803.85804400906,-8.329489640708388,null
34,"10/2018",-8125.917943894957,-312.53530553442124,0,93553.85864383719,-8.685818053566994,null
35,"11/2018",-8438.453249429378,-312.53530553442124,0,93303.69257739873,-9.044072122257521,null
36,"12/2018",-8750.9885549638,-312.53530553442215,0,93053.35973358263,-9.404269313884427,null
37,"1/2019",-9063.523860498222,-312.53530553442215,0,92802.860001204,-9.76642730663757,null
38,"2/2019",-9376.059166032644,-312.53530553442215,0,92552.19326900366,-10.130563992990481,null
39,"3/2019",-9688.594471567067,-312.53530553442215,0,92301.35942564865,-10.496697482956902,null
40,"4/2019",-10001.129777101489,-312.53530553442215,0,92050.35835973146,-10.864846107407013,null
41,"5/2019",-10313.665082635911,-312.53530553442215,0,91799.18995977018,-11.235028421444396,null
42,"6/2019",-10626.200388170333,-312.53530553442215,0,91547.85411420891,-11.607263207845161,null
43,"7/2019",-10938.735693704755,-312.53530553442215,0,91296.35071141738,-11.9815694805606,null
44,"8/2019",-11251.270999239177,-312.53530553442215,0,91044.67963969064,-12.357966488284749,null
45,"9/2019",-11563.8063047736,-312.53530553442215,0,90792.8407872494,-12.736473718088106,null
46,"10/2019",-11876.341610308022,-312.53530553442215,0,90540.83404223983,-13.11711089911915,null
